millis,sync4_train_start,bnc_interval_ms,sync4_interval_ms,,,,,
2458237.62,26:43.8,66.86,67,-0.14,,,,
2458337.95,26:43.9,100.33,100,0.33,,,,
2497679.26,27:23.3,39341.31,39341,0.31,,,,
2497746.12,27:23.3,66.86,67,-0.14,,,,
2497883.19,27:23.5,137.07,137,0.07,,,,
2498603.63,27:24.2,720.44,721,-0.56,,,,
2498670.48,27:24.3,66.85,67,-0.15,,,,
2498786.33,27:24.4,115.85,115,0.85,,,,
2498945.78,27:24.5,159.45,160,-0.55,,,,
2499012.64,27:24.6,66.86,67,-0.14,,,,
2499523.61,27:25.1,510.97,511,-0.03,,,,
2499590.46,27:25.2,66.85,67,-0.15,,,,
2499753,27:25.3,162.54,162,0.54,,,,
2499819.86,27:25.4,66.86,67,-0.14,,,,
2500012.06,27:25.6,192.2,192,0.2,,,,
2500078.92,27:25.7,66.86,67,-0.14,,,,
2500241.46,27:25.8,162.54,163,-0.46,,,,
2500308.32,27:25.9,66.86,66,0.86,,,,
2500379.58,27:26.0,71.26,72,-0.74,,,,
2500469.36,27:26.1,89.78,89,0.78,,,,
2500536.21,27:26.1,66.85,67,-0.15,,,,
2500865.48,27:26.5,329.27,330,-0.73,,,,
2500932.34,27:26.5,66.86,66,0.86,,,,
2501386.91,27:27.0,454.57,455,-0.43,,,,
2501453.77,27:27.0,66.86,67,-0.14,,,,
2502202.23,27:27.8,748.46,748,0.46,,,,
2502269.09,27:27.9,66.86,67,-0.14,,,,
2502340.35,27:27.9,71.26,71,0.26,,,,
2503622.94,27:29.2,1282.59,1283,-0.41,,,,
2503689.79,27:29.3,66.85,67,-0.15,,,,
2503873.52,27:29.5,183.73,184,-0.27,,,,
2503940.38,27:29.5,66.86,67,-0.14,,,,
2504177.16,27:29.8,236.78,236,0.78,,,,
2504244.02,27:29.8,66.86,67,-0.14,,,,
2517786.66,27:43.4,13542.64,13543,-0.36,,,,
2517853.52,27:43.4,66.86,67,-0.14,,,,
2518180.04,27:43.8,326.52,326,0.52,,,,
2518246.9,27:43.8,66.86,67,-0.14,,,,
2518650.7,27:44.2,403.8,404,-0.2,,,,
2518717.57,27:44.3,66.87,67,-0.13,,,,
2519871.92,27:45.5,1154.35,1154,0.35,,,,
2519938.78,27:45.5,66.86,67,-0.14,,,,
2520099.85,27:45.7,161.07,161,0.07,,,,
2520166.71,27:45.8,66.86,67,-0.14,,,,
2542271.06,28:07.9,22104.35,22104,0.35,,,,
2542799.34,28:08.4,528.28,529,-0.72,,,,
2542867.4,28:08.5,68.06,68,0.06,,,,
2543050.94,28:08.6,183.54,183,0.54,,,,
2544523.95,28:10.1,1473.01,1473,0.01,,,,
2544586.97,28:10.2,63.02,63,0.02,,,,
2544655.03,28:10.3,68.06,68,0.06,,,,
2547343.02,28:12.9,2687.99,2688,-0.01,,,,
2557461.09,28:23.1,10118.07,10118,0.07,,,,
2567772.69,28:33.4,10311.6,10312,-0.4,,,,
2568648.65,28:34.2,875.96,876,-0.04,,,,
2568716.7,28:34.3,68.05,68,0.05,,,,
2569433.43,28:35.0,716.73,717,-0.27,,,,
2569496.45,28:35.1,63.02,63,0.02,,,,
2569564.5,28:35.2,68.05,68,0.05,,,,
2586886.75,28:52.5,17322.25,17322,0.25,,,,
2593089.26,28:58.7,6202.51,6202,0.51,,,,
2593157.03,28:58.8,67.77,68,-0.23,,,,
2600337.37,29:05.9,7180.34,7181,-0.66,,,,
2600405.15,29:06.0,67.78,67,0.78,,,,
2607729.65,29:13.3,7324.5,7325,-0.5,,,,
2607797.42,29:13.4,67.77,68,-0.23,,,,
2657974.37,30:03.6,50176.95,50177,-0.05,,,,
2658042.16,30:03.6,67.79,67,0.79,,,,
2688547.46,30:34.1,30505.3,30506,-0.7,,,,
2702020.19,30:47.6,13472.73,13473,-0.27,,,,
2718474.86,31:04.1,16454.67,16454,0.67,,,,
2719069.87,31:04.7,595.01,595,0.01,,,,
2719137.93,31:04.7,68.06,68,0.06,,,,
2719892.12,31:05.5,754.19,754,0.19,,,,
2719955.14,31:05.6,63.02,64,-0.98,,,,
2720023.19,31:05.6,68.05,68,0.05,,,,
2720619.52,31:06.2,596.33,596,0.33,,,,
2737499.39,31:23.1,16879.87,16880,-0.13,,,,
2738031.53,31:23.6,532.14,532,0.14,,,,
2738099.58,31:23.7,68.05,68,0.05,,,,
2738764.23,31:24.4,664.65,665,-0.35,,,,
2738827.25,31:24.4,63.02,63,0.02,,,,
2738895.31,31:24.5,68.06,68,0.06,,,,
2740506.78,31:26.1,1611.47,1611,0.47,,,,
2742604.35,31:28.2,2097.57,2098,-0.43,,,,
2754754.33,31:40.4,12149.98,12150,-0.02,,,,
2755359.08,31:41.0,604.75,604,0.75,,,,
2755427.13,31:41.0,68.05,69,-0.95,,,,
2756216.56,31:41.8,789.43,789,0.43,,,,
2756279.58,31:41.9,63.02,63,0.02,,,,
